name,link,address,lat,lng,rent_raw,rent_from,rent_to,layout_raw,layouts,built_year,management_fee_raw,management_fees,access,comment
コーシャハイム白鬚東,/jkktokyo/detailMap?account=jkktokyo&bid=780030&pgret=2,墨田区堤通2-13-1,35.7368685,139.8161251,"76,400～142,800円（月額）",76400,142800,2DK～4LDK,"['2DK', '4LDK']",1989,"3,000円",[3000],東武スカイツリーライン(伊勢崎線)「鐘ヶ淵」駅下車徒歩9分,
コーシャハイム八王子緑町,/jkktokyo/detailMap?account=jkktokyo&bid=3180330&pgret=2,八王子市緑町120-3-1,35.6473648,139.3287748,"55,700～76,000円（月額）",55700,76000,２ＬＤＫ～４ＬＤＫ,"['2LDK', '4LDK']",1992,"5,000円",[5000],ＪＲ中央線「八王子」駅下車徒歩19分,
コーシャハイム八潮西,/jkktokyo/detailMap?account=jkktokyo&bid=980110&pgret=2,"品川区八潮5-4-16,17",35.6015162,139.7509859,"96,200・99,500円（月額）",96200,99500,３ＤＫ,['3DK'],1983,"3,600円（16号棟）・3,900（17号棟）円",[3600],東京モノレール羽田線「大井競馬場前」駅下車徒歩15分,16号棟にはエレベータがありません。
コーシャハイム八潮南,/jkktokyo/detailMap?account=jkktokyo&bid=980120&pgret=2,品川区八潮5-8-47,35.5968361,139.7541474,"95,800円（月額）",95800,95800,３ＤＫ,['3DK'],1984,"3,400円",[3400],ＪＲ京浜東北線「大井町」駅からバス約17分「大井消防署八潮出張所前」下車徒歩3分,
コーシャハイム八潮北,/jkktokyo/detailMap?account=jkktokyo&bid=980100&pgret=2,品川区八潮5-2-7,35.603593,139.7539877,"88,200円（月額）",88200,88200,３ＤＫ,['3DK'],1983,"3,400円",[3400],ＪＲ京浜東北線「品川」駅からバス約18分「明晴学園前」下車徒歩3分,
コーシャハイム美園町,/jkktokyo/detailMap?account=jkktokyo&bid=4180140&pgret=2,小平市美園町1-8-1,35.7360829,139.4876766,"103,500～110,600円（月額）",103500,110600,2LDK,['2LDK'],1993,"2,400円",[2400],西武新宿線「小平」駅下車徒歩3分,
コーシャハイム富士見台,/jkktokyo/detailMap?account=jkktokyo&bid=1480310&pgret=2,中野区上鷺宮4-16-3,35.7347911,139.6299476,"104,500～149,500円（月額）",104500,149500,1LDK～3DK,"['1LDK', '3DK']",2005,"5,500円",[5500],西武池袋線「富士見台」駅下車徒歩2分,
コーシャハイム武蔵岡,/jkktokyo/detailMap?account=jkktokyo&bid=3980230&pgret=2,町田市相原町3181,35.6071795,139.3013012,"60,400・67,300円（月額）",60400,67300,3DK・3LDK,"['3DK', '3LDK']",1990,"4,500円",[4500],京王相模原線「橋本」駅からバス約20分「円林寺前」下車徒歩1分,
コーシャハイム方南町ガーデンコート,/jkktokyo/detailMap?account=jkktokyo&bid=1580250&pgret=2,杉並区和泉4-44-1,35.680922,139.6544956,"97,700～195,200円（月額）",97700,195200,1DK～3LDK,"['1DK', '3LDK']",2014,"5,500円",[5500],東京メトロ丸ノ内線「方南町」駅下車徒歩5分,
コーシャハイム北千住,/jkktokyo/detailMap?account=jkktokyo&bid=2180430&pgret=2,足立区日ノ出町26-1,35.751254,139.808743,"85,700～150,200円（月額）",85700,150200,1DK～3DK,"['1DK', '3DK']",2007,"4,300円",[4300],東京メトロ日比谷線「北千住」駅下車徒歩5分,
